movieId,reviewCount,positiveReviewCount,negativeReviewCount,positiveReviewRatio,negativeReviewRatio,meanSentimentScore,medianSentimentScore,sentimentReliability,adjustedSentimentScore,sentimentStd,meanPositiveProb,meanNegativeProb,meanSentimentConfidence
231,3,1,2,0.3333333333333333,0.6666666666666666,-0.09119133233858401,-0.2741066125723032,0.375,-0.034196749626969,1.0090755886340832,0.45440432609415266,0.5455956584327367,0.8778724674410677
233,2,1,1,0.5,0.5,0.031364190940390224,0.031364190940390224,0.2857142857142857,0.008961197411540063,1.3689695454484268,0.5156821005950584,0.4843179096546682,0.9840038295370874
234,1,1,0,1.0,0.0,0.979287880972812,0.979287880972812,0.16666666666666666,0.163214646828802,0.0,0.9896439401726974,0.010356059199885317,0.9896439401726974
235,1,1,0,1.0,0.0,0.986596269524428,0.986596269524428,0.16666666666666666,0.16443271158740466,0.0,0.993298147051654,0.006701877527225918,0.993298147051654
236,1,1,0,1.0,0.0,0.9981701747147423,0.9981701747147423,0.16666666666666666,0.16636169578579038,0.0,0.9990850506406842,0.0009148759259419007,0.9990850506406842
240,1,1,0,1.0,0.0,0.8360175295062102,0.8360175295062102,0.16666666666666666,0.13933625491770169,0.0,0.9180087442998286,0.08199121479361833,0.9180087442998286
246,1,1,0,1.0,0.0,0.9812810127285944,0.9812810127285944,0.16666666666666666,0.16354683545476573,0.0,0.99064050204512,0.009359489316525667,0.99064050204512
247,3,2,1,0.6666666666666666,0.3333333333333333,0.33480632165037266,0.98737227820581,0.375,0.12555237061888974,1.1409255485264687,0.6674031709892793,0.3325968493389066,0.9949371567400767
249,1,1,0,1.0,0.0,0.9987350400831354,0.9987350400831354,0.16666666666666666,0.16645584001385588,0.0,0.9993675633480674,0.000632523264932005,0.9993675633480674
250,1,0,1,0.0,1.0,-0.9963692799527595,-0.9963692799527595,0.16666666666666666,-0.16606154665879325,0.0,0.001815313734906785,0.9981845936876662,0.9981845936876662
253,1,1,0,1.0,0.0,0.9914952312937434,0.9914952312937434,0.16666666666666666,0.1652492052156239,0.0,0.9957476313810171,0.004252400087273639,0.9957476313810171
256,1,1,0,1.0,0.0,0.9991060000795282,0.9991060000795282,0.16666666666666666,0.16651766667992135,0.0,0.9995529777125308,0.00044697763300255726,0.9995529777125308
258,1,0,1,0.0,1.0,-0.9995619336977326,-0.9995619336977326,0.16666666666666666,-0.16659365561628875,0.0,0.00021901374762774977,0.9997809474453604,0.9997809474453604
259,1,0,1,0.0,1.0,-0.9487799833405692,-0.9487799833405692,0.16666666666666666,-0.1581299972234282,0.0,0.025610010578947247,0.9743899939195165,0.9743899939195165
